OrderDate	Ref	DeliveryDate	OrderQty	DeliveryQty	LokadNetAmount	IsClosed	PONumber
2019-02-23	16187687	2019-04-16	30	30	192	true	P-0249500224
2019-02-23	12451991	2001-01-01	34	0	361	false	P-0249500216
2019-02-23	16277400	2019-04-01	18	18	182	true	P-0249500210
2019-02-23	14895172	2019-04-21	14	14	180	true	P-0249500224
2019-02-23	14245992	2019-04-11	32	32	176	true	P-0249500221
2019-02-23	14339722	2019-04-10	9	9	165	true	P-0249500221
2019-02-23	14099484	2019-02-28	12	12	163	true	P-0249500221
2019-02-23	14262733	2019-03-16	17	17	162	true	P-0249500221
2019-02-23	13474623	2019-03-22	10	10	298	true	P-0249500221
2019-02-23	16188573	2019-03-20	18	18	145	true	P-0249500230
2019-02-23	10764226	2019-04-05	19	19	148	true	P-0249500210
2019-02-23	11929369	2019-04-21	68	68	285	true	P-0249500224
2019-02-23	14548487	2019-03-20	12	12	138	true	P-0249500221
2019-02-23	16187687	2019-04-09	22	22	139	true	P-0249500224
2019-02-23	12768029	2019-03-18	17	17	134	true	P-0249500230
2019-02-23	12787016	2019-04-03	8	8	128	true	P-0249500230
2019-02-23	10132892	2019-03-31	7	7	130	true	P-0249500221
2019-02-23	14802650	2019-03-30	7	7	122	true	P-0249500184
2019-02-23	14411646	2019-03-03	15	15	121	true	P-0249500221
2019-02-23	12956674	2019-04-17	5	5	122	true	P-0249500224
2019-02-23	14523293	2019-04-14	14	14	117	true	P-0249500221
2019-02-23	13107618	2019-04-16	6	6	117	true	P-0249500224
2019-02-23	15431986	2019-04-14	21	21	115	true	P-0249500224
2019-02-23	13336895	2019-03-17	6	6	217	true	P-0249500184
2019-02-23	12703703	2019-03-18	16	16	106	true	P-0249500230
2019-02-23	11929369	2019-04-14	52	52	218	true	P-0249500224
2019-02-23	13856231	2019-04-10	6	6	105	true	P-0249500210
2019-02-23	13944445	2019-04-01	6	6	101	true	P-0249500184
2019-02-23	14262733	2019-03-02	10	10	91	true	P-0249500221
2019-02-23	14523293	2019-03-24	11	11	90	true	P-0249500221
2019-02-23	16430058	2019-03-07	38	38	179	true	P-0249500227
2019-02-23	10422793	2019-03-24	15	15	88	true	P-0249500216
2019-02-23	14548487	2019-03-16	7	7	76	true	P-0249500221
2019-02-23	10095232	2019-04-10	7	7	76	true	P-0249500227
2019-02-23	14411646	2019-02-27	9	9	69	true	P-0249500221
2019-02-23	11914966	2019-03-05	10	10	135	true	P-0249500227
2019-02-23	12451991	2019-04-22	12	12	128	true	P-0249500216
2019-02-23	15092233	2019-03-28	27	27	61	true	P-0249500221
2019-02-23	14411646	2019-03-14	8	8	61	true	P-0249500221
2019-02-23	13498766	2019-04-17	12	12	105	true	P-0249500224
2019-02-23	12768029	2019-03-21	7	3	51	true	P-0249500230
2019-02-23	14693335	2019-03-12	4	4	50	true	P-0249500221
2019-02-23	15092233	2019-04-10	21	21	47	true	P-0249500221
2019-02-23	12918171	2019-03-06	21	21	46	true	P-0249500221
2019-02-23	12918171	2019-04-17	21	21	46	true	P-0249500221
2019-02-23	14245992	2019-03-19	7	7	34	true	P-0249500221
2019-02-23	14245992	2019-04-18	6	6	29	true	P-0249500221
2019-02-23	12753764	2019-04-01	6	6	27	true	P-0249500230
2019-02-23	13498766	2019-04-11	6	6	53	true	P-0249500224
2019-02-23	12768029	2019-03-27	4	4	26	true	P-0249500230
2019-02-23	10422793	2019-05-01	4	4	19	true	P-0249500216
2019-02-23	15092233	2019-04-10	6	6	12	true	P-0249500221
2019-02-23	15641711	2019-03-28	5	5	7	true	P-0249500230
2019-03-02	10210677	2019-04-21	42	29	817	true	P-0250200233
2019-03-02	12407652	2019-04-06	82	82	352	true	P-0250200195
2019-03-02	14820865	2019-03-27	42	42	230	true	P-0250200233
2019-03-02	10095232	2019-04-19	41	41	336	true	P-0250200239
2019-03-02	13693084	2019-03-31	41	41	12	true	P-0250200236
2019-03-02	13693084	2019-03-27	41	41	12	true	P-0250200236
2019-03-02	15149291	2019-03-17	41	41	314	true	P-0250200236
2019-03-02	10595489	2019-04-13	40	40	465	true	P-0250200221
2019-03-02	11800905	2019-03-17	78	78	437	true	P-0250200239
2019-03-02	11097836	2019-04-18	39	39	299	true	P-0250200221
2019-03-02	13856231	2019-03-30	39	39	529	true	P-0250200221
2019-03-02	14802650	2019-04-14	39	39	520	true	P-0250200195
2019-03-02	15519926	2019-03-20	39	39	633	true	P-0250200236
2019-03-02	11045096	2019-03-21	38	38	430	true	P-0250200236
2019-03-02	11929369	2019-03-19	74	74	206	true	P-0250200236
2019-03-02	11045096	2019-03-19	37	37	418	true	P-0250200236
2019-03-02	12564089	2019-04-03	37	37	349	true	P-0250200242
2019-03-02	12703703	2019-04-01	37	37	174	true	P-0250200242
2019-03-02	14113811	2019-03-23	37	37	268	true	P-0250200233
2019-03-02	14789055	2019-04-02	37	37	261	true	P-0250200242
2019-03-02	14802650	2019-04-07	37	37	493	true	P-0250200195
2019-03-02	11711636	2019-05-05	70	70	547	true	P-0250200227
2019-03-02	12409642	2019-03-29	68	68	1003	true	P-0250200239
2019-03-02	16187687	2019-03-30	35	35	150	true	P-0250200236
2019-03-02	12572098	2019-03-22	34	34	412	true	P-0250200236
2019-03-02	14993287	2019-03-31	34	34	1145	true	P-0250200195
2019-03-02	16412231	2019-04-04	66	16	482	true	P-0250200239
2019-03-02	9952426	2019-04-10	34	34	669	true	P-0250200242
2019-03-02	10764226	2019-04-16	33	33	175	true	P-0250200221
2019-03-02	14404386	2019-03-31	33	33	634	true	P-0250200233
2019-03-02	10099950	2019-03-21	31	31	312	true	P-0250200236
2019-03-02	11788268	2019-04-10	60	60	1197	true	P-0250200221
2019-03-02	12572098	2019-03-31	31	31	374	true	P-0250200236
2019-03-02	15416092	2019-03-23	31	31	210	true	P-0250200227
2019-03-02	13985896	2019-03-20	30	30	414	true	P-0250200233
2019-03-02	15416092	2019-04-21	30	30	203	true	P-0250200227
2019-03-02	13594853	2019-03-04	29	29	214	true	P-0250200233
2019-03-02	16595101	2019-04-09	56	56	345	true	P-0250200242
2019-03-02	15092233	2019-04-20	28	28	43	true	P-0250200233
2019-03-02	10099950	2019-03-21	27	27	271	true	P-0250200236
2019-03-02	11914966	2019-03-31	52	52	465	true	P-0250200239
2019-03-02	12564089	2019-03-24	27	27	252	true	P-0250200242
2019-03-02	10132892	2019-04-11	26	26	363	true	P-0250200233
2019-03-02	10132892	2019-04-30	26	26	363	true	P-0250200233
2019-03-02	12787016	2019-03-29	26	26	314	true	P-0250200242
2019-03-02	13985896	2019-03-26	25	25	342	true	P-0250200233
2019-03-02	14289423	2019-04-04	25	25	438	true	P-0250200233
2019-03-02	15808622	2019-03-22	25	25	322	true	P-0250200233
2019-03-02	16430058	2019-04-01	48	48	151	true	P-0250200239
2019-03-02	9952426	2019-03-26	25	25	487	true	P-0250200242
2019-03-02	16187687	2019-03-23	24	24	102	true	P-0250200236
2019-03-02	10422793	2019-04-28	23	23	92	true	P-0250200227
2019-03-02	10764226	2019-04-12	23	23	121	true	P-0250200221
2019-03-02	14245992	2019-04-12	23	23	84	true	P-0250200233
2019-03-02	14548487	2019-03-28	23	9	186	true	P-0250200233
2019-03-02	15431986	2019-03-20	23	23	84	true	P-0250200236
2019-03-02	14099484	2019-03-17	22	22	209	true	P-0250200233
2019-03-02	15519926	2019-03-21	22	22	350	true	P-0250200236
2019-03-02	10210677	2019-04-22	21	21	399	true	P-0250200233
2019-03-02	11711150	2019-04-08	40	40	938	true	P-0250200195
2019-03-02	12572098	2019-03-29	21	21	250	true	P-0250200236
2019-03-02	12918171	2019-04-01	21	21	31	true	P-0250200233
2019-03-02	12918171	2019-04-22	21	21	31	true	P-0250200233
2019-03-02	15416092	2019-03-31	21	24	140	true	P-0250200227
2019-03-02	16188573	2019-04-05	20	20	111	true	P-0250200242
2019-03-02	14693335	2019-04-08	19	19	199	true	P-0250200233
2019-03-02	15092233	2019-04-25	19	19	29	true	P-0250200233
2019-03-02	10095232	2019-04-09	18	18	143	true	P-0250200239
2019-03-02	10678449	2019-04-02	18	18	177	true	P-0250200221
2019-03-02	14339722	2019-04-05	18	18	235	true	P-0250200233
2019-03-02	15963625	2019-04-30	18	18	158	true	P-0250200227
2019-03-02	16277400	2019-03-30	18	18	121	true	P-0250200221
2019-03-02	10095232	2019-03-28	17	17	135	true	P-0250200239
2019-03-02	11045096	2019-03-31	17	17	186	true	P-0250200236
2019-03-02	12787016	2019-04-10	17	17	201	true	P-0250200242
2019-03-02	14404386	2019-04-21	17	17	317	true	P-0250200233
2019-03-02	14895172	2019-03-19	17	17	147	true	P-0250200236
2019-03-02	14895172	2019-04-01	17	17	147	true	P-0250200236
2019-03-02	9952426	2019-03-29	17	17	325	true	P-0250200242
2019-03-02	12451991	2019-05-04	30	14	213	true	P-0250200227
2019-03-02	12703703	2019-04-07	16	16	73	true	P-0250200242
2019-03-02	15410849	2019-05-06	16	16	277	true	P-0250200227
2019-03-02	11711150	2019-03-25	28	28	657	true	P-0250200195
2019-03-02	12572752	2019-03-26	15	15	234	true	P-0250200242
2019-03-02	12768029	2019-03-25	15	15	81	true	P-0250200242
2019-03-02	13060917	2019-05-10	15	15	155	true	P-0250200227
2019-03-02	13944445	2019-04-22	15	15	192	true	P-0250200195
2019-03-02	14339722	2019-03-23	15	15	193	true	P-0250200233
2019-03-02	15034737	2019-03-23	15	15	220	true	P-0250200236
2019-03-02	13107618	2019-03-19	14	14	202	true	P-0250200236
2019-03-02	14262733	2019-04-22	14	14	88	true	P-0250200233
2019-03-02	12564089	2019-03-24	13	13	117	true	P-0250200242
2019-03-02	13856231	2019-04-18	13	13	167	true	P-0250200221
2019-03-02	14523293	2019-03-13	13	13	73	true	P-0250200233
2019-03-02	13060917	2019-05-08	12	12	122	true	P-0250200227
2019-03-02	13452029	2019-04-10	22	22	344	true	P-0250200227
2019-03-02	13944445	2019-04-12	12	12	151	true	P-0250200195
2019-03-02	14548487	2019-04-05	12	12	93	true	P-0250200233
2019-03-02	14523293	2019-03-08	11	11	61	true	P-0250200233
2019-03-02	13498766	2019-03-18	18	18	105	true	P-0250200236
2019-03-02	14411646	2019-04-17	10	10	52	true	P-0250200233
2019-03-02	13498766	2019-03-21	16	16	93	true	P-0250200236
2019-03-02	14411646	2019-03-10	9	9	47	true	P-0250200233
2019-03-02	14693335	2019-04-18	9	9	89	true	P-0250200233
2019-03-02	13107618	2019-03-28	8	8	109	true	P-0250200236
2019-03-02	14289423	2019-04-04	8	8	128	true	P-0250200233
2019-03-02	12409642	2019-03-24	12	12	177	true	P-0250200239
2019-03-02	12787016	2019-04-02	7	7	76	true	P-0250200242
2019-03-02	14099484	2019-03-27	7	7	60	true	P-0250200233
2019-03-02	14262733	2019-04-25	7	7	41	true	P-0250200233
2019-03-02	14895172	2019-03-31	7	7	55	true	P-0250200236
2019-03-02	15092233	2019-03-09	7	7	10	true	P-0250200233
2019-03-02	15410849	2019-03-21	7	7	111	true	P-0250200227
2019-03-02	15431986	2019-03-21	7	7	23	true	P-0250200236
2019-03-02	11914966	2019-03-23	10	10	90	true	P-0250200239
2019-03-02	12572752	2019-03-24	6	6	84	true	P-0250200242
2019-03-02	13856231	2019-04-06	6	6	70	true	P-0250200221
2019-03-02	13985896	2019-03-24	6	6	72	true	P-0250200233
2019-03-02	14404386	2019-04-27	6	6	99	true	P-0250200233
2019-03-02	14411646	2019-03-19	6	6	29	true	P-0250200233
2019-03-02	14802650	2019-03-31	6	6	69	true	P-0250200195
2019-03-02	12768029	2019-03-26	5	5	23	true	P-0250200242
2019-03-02	13944445	2019-04-14	5	5	55	true	P-0250200195
2019-03-02	14245992	2019-04-24	5	5	16	true	P-0250200233
2019-03-02	14339722	2019-03-09	5	5	56	true	P-0250200233
2019-03-02	10132892	2019-03-31	4	4	44	true	P-0250200233
2019-03-02	10422793	2019-05-09	4	4	13	true	P-0250200227
2019-03-02	12451991	2001-01-01	6	0	43	false	P-0250200227
2019-03-02	14245992	2019-04-21	4	4	12	true	P-0250200233
2019-03-02	14693335	2019-03-14	4	4	34	true	P-0250200233
2019-03-02	15034737	2019-03-19	4	4	48	true	P-0250200236
2019-03-02	12768029	2019-03-28	3	3	12	true	P-0250200242
2019-03-02	13934616	2019-03-27	3	3	6	true	P-0250200233
2019-03-02	14548487	2019-04-22	3	3	17	true	P-0250200233
2019-03-02	14993287	2019-04-05	3	3	70	true	P-0250200195
2019-03-02	11788268	2019-03-30	2	2	40	true	P-0250200221
2019-03-02	12956674	2019-03-20	2	2	21	true	P-0250200236
2019-03-02	13336895	2019-04-24	2	2	49	true	P-0250200195
2019-03-02	13594853	2019-04-09	2	2	8	true	P-0250200233
2019-03-09	11780124	2019-04-13	144	144	239	true	P-0250900160
2019-03-09	16363786	2019-05-02	140	140	1547	true	P-0250900169
2019-03-09	16401974	2019-03-22	138	138	2534	true	P-0250900174
2019-03-09	16595101	2019-04-16	134	134	1242	true	P-0250900177
2019-03-09	12572752	2019-04-10	64	64	1583	true	P-0250900177
2019-03-09	15063964	2019-03-29	61	61	27	true	P-0250900172
2019-03-09	11557472	2019-04-18	60	60	684	true	P-0250900160
2019-03-09	16239251	2019-03-13	58	58	622	true	P-0250900169
2019-03-09	11557472	2019-04-27	56	56	638	true	P-0250900160
2019-03-09	11635178	2019-03-28	55	55	241	true	P-0250900169
2019-03-09	11481389	2019-04-12	46	46	283	true	P-0250900160
2019-03-09	10136626	2019-04-10	44	44	817	true	P-0250900177
2019-03-09	10592438	2019-04-08	41	41	66	true	P-0250900172
2019-03-09	10592438	2019-03-28	41	41	66	true	P-0250900172
2019-03-09	10592438	2019-03-29	41	41	66	true	P-0250900172
2019-03-09	12564089	2019-04-14	40	40	570	true	P-0250900177
2019-03-09	14789055	2019-04-03	40	40	426	true	P-0250900177
2019-03-09	11929369	2019-03-27	76	76	317	true	P-0250900172
2019-03-09	16239251	2019-04-05	39	39	415	true	P-0250900169
2019-03-09	16239251	2019-05-06	39	31	415	true	P-0250900169
2019-03-09	9952426	2019-04-11	38	38	1132	true	P-0250900177
2019-03-09	15880950	2019-04-10	37	37	459	true	P-0250900165
2019-03-09	16075571	2019-03-29	37	37	154	true	P-0250900172
2019-03-09	11635178	2019-03-25	36	36	156	true	P-0250900169
2019-03-09	12703703	2019-04-11	36	36	256	true	P-0250900177
2019-03-09	16401974	2019-04-10	70	70	1286	true	P-0250900174
2019-03-09	11788268	2019-04-18	66	66	1980	true	P-0250900160
2019-03-09	11097836	2019-04-12	32	32	368	true	P-0250900160
2019-03-09	15963625	2019-03-18	32	20	432	true	P-0250900165
2019-03-09	16595101	2019-04-05	62	62	575	true	P-0250900177
2019-03-09	11481389	2019-04-28	31	31	189	true	P-0250900160
2019-03-09	12564089	2019-04-02	31	31	439	true	P-0250900177
2019-03-09	9952426	2019-04-06	30	30	887	true	P-0250900177
2019-03-09	16401974	2019-04-15	56	4	1029	true	P-0250900174
2019-03-09	12787016	2019-04-16	27	27	492	true	P-0250900177
2019-03-09	16075571	2019-03-24	27	27	111	true	P-0250900172
2019-03-09	12787016	2019-04-12	26	26	473	true	P-0250900177
2019-03-09	16188573	2019-04-08	26	26	220	true	P-0250900177
2019-03-09	10595489	2019-04-13	24	24	413	true	P-0250900160
2019-03-09	10678449	2019-04-20	24	23	361	true	P-0250900160
2019-03-09	10210677	2019-03-29	23	23	665	true	P-0250900169
2019-03-09	11557472	2019-04-03	23	23	255	true	P-0250900160
2019-03-09	11097836	2019-04-26	22	22	249	true	P-0250900160
2019-03-09	11788268	2019-04-16	42	42	1260	true	P-0250900160
2019-03-09	11929369	2019-04-05	42	42	175	true	P-0250900172
2019-03-09	10095232	2019-04-21	21	21	253	true	P-0250900174
2019-03-09	11800905	2019-04-09	40	40	337	true	P-0250900174
2019-03-09	12918171	2019-05-04	21	21	47	true	P-0250900169
2019-03-09	13693084	2019-03-27	21	21	9	true	P-0250900172
2019-03-09	13751180	2019-04-01	21	21	8	true	P-0250900172
2019-03-09	14901389	2019-03-14	21	21	296	true	P-0250900172
2019-03-09	15063964	2019-03-26	21	21	9	true	P-0250900172
2019-03-09	10678449	2019-04-26	20	20	298	true	P-0250900160
2019-03-09	11800905	2019-04-02	38	38	320	true	P-0250900174
2019-03-09	14820865	2019-03-30	20	20	162	true	P-0250900169
2019-03-09	16277400	2019-04-14	20	20	204	true	P-0250900160
2019-03-09	14895172	2019-03-29	19	19	248	true	P-0250900172
2019-03-09	16018733	2019-05-13	19	19	174	true	P-0250900165
2019-03-09	16075571	2019-03-26	19	19	77	true	P-0250900172
2019-03-09	16187687	2019-03-27	19	19	119	true	P-0250900172
2019-03-09	16187687	2019-04-04	19	19	119	true	P-0250900172
2019-03-09	11481389	2019-04-22	18	18	107	true	P-0250900160
2019-03-09	11941800	2019-04-17	34	16	400	true	P-0250900169
2019-03-09	12569093	2019-04-25	18	18	181	true	P-0250900174
2019-03-09	15963625	2019-05-07	18	18	237	true	P-0250900165
2019-03-09	9952426	2019-04-07	18	18	520	true	P-0250900177
2019-03-09	11780124	2019-04-17	32	32	54	true	P-0250900160
2019-03-09	12569093	2019-03-27	17	11	170	true	P-0250900174
2019-03-09	12572098	2019-04-03	17	17	300	true	P-0250900172
2019-03-09	15343952	2019-03-27	17	17	173	true	P-0250900172
2019-03-09	15880950	2019-04-24	17	17	204	true	P-0250900165
2019-03-09	10099950	2019-04-05	16	5	235	true	P-0250900172
2019-03-09	10099950	2019-04-02	16	16	235	true	P-0250900172
2019-03-09	11097836	2019-04-23	16	16	178	true	P-0250900160
2019-03-09	11711100	2019-04-25	30	30	198	true	P-0250900174
2019-03-09	11711100	2019-03-23	30	30	198	true	P-0250900174
2019-03-09	12564089	2019-04-06	16	16	220	true	P-0250900177
2019-03-09	12703703	2019-04-03	16	16	110	true	P-0250900177
2019-03-09	16363786	2019-04-14	30	30	332	true	P-0250900169
2019-03-09	12768029	2019-03-31	15	15	122	true	P-0250900177
2019-03-09	14993287	2019-05-03	15	15	734	true	P-0250900136
2019-03-09	16018733	2019-03-25	15	15	135	true	P-0250900165
2019-03-09	16018733	2019-03-26	15	15	135	true	P-0250900165
2019-03-09	11929369	2019-03-27	26	26	109	true	P-0250900172
2019-03-09	12572752	2019-04-03	14	14	327	true	P-0250900177
2019-03-09	16363786	2019-04-27	26	4	288	true	P-0250900169
2019-03-09	10095232	2019-04-09	13	13	152	true	P-0250900174
2019-03-09	10210677	2019-03-19	13	8	363	true	P-0250900169
2019-03-09	11045096	2019-04-04	13	13	210	true	P-0250900172
2019-03-09	12407652	2019-04-04	24	24	156	true	P-0250900136
2019-03-09	15963625	2019-04-26	13	13	168	true	P-0250900165
2019-03-09	12407652	2019-04-30	22	22	143	true	P-0250900136
2019-03-09	12569093	2019-03-28	12	12	117	true	P-0250900174
2019-03-09	10422793	2019-05-13	11	11	63	true	P-0250900165
2019-03-09	12401265	2019-05-06	20	20	46	true	P-0250900169
2019-03-09	12918171	2019-04-11	11	11	24	true	P-0250900169
2019-03-09	14113811	2019-03-26	11	5	113	true	P-0250900169
2019-03-09	15343952	2019-03-24	11	11	109	true	P-0250900172
2019-03-09	15431986	2019-04-03	11	11	58	true	P-0250900172
2019-03-09	10595489	2019-04-19	10	10	162	true	P-0250900160
2019-03-09	10595489	2019-04-09	10	10	162	true	P-0250900160
2019-03-09	10099950	2019-04-06	9	9	126	true	P-0250900172
2019-03-09	11711100	2019-03-26	16	16	106	true	P-0250900174
2019-03-09	13498766	2019-04-08	16	16	140	true	P-0250900172
2019-03-09	15519926	2019-03-25	9	9	201	true	P-0250900172
2019-03-09	11914966	2019-04-01	14	14	188	true	P-0250900174
2019-03-09	11941800	2019-03-28	14	14	165	true	P-0250900169
2019-03-09	12787016	2019-03-31	8	8	133	true	P-0250900177
2019-03-09	14802650	2019-05-01	8	8	145	true	P-0250900136
2019-03-09	14895172	2019-04-03	8	8	97	true	P-0250900172
2019-03-09	14993287	2019-04-09	7	7	315	true	P-0250900136
2019-03-09	16277400	2019-04-18	7	7	65	true	P-0250900160
2019-03-09	16430058	2019-04-01	12	12	57	true	P-0250900174
2019-03-09	11914966	2019-04-06	10	10	135	true	P-0250900174
2019-03-09	12572098	2019-04-05	6	6	94	true	P-0250900172
2019-03-09	12572752	2019-04-15	6	6	126	true	P-0250900177
2019-03-09	13594853	2019-04-08	6	6	58	true	P-0250900169
2019-03-09	15519926	2019-04-05	6	6	126	true	P-0250900172
2019-03-09	10422793	2019-05-15	5	5	26	true	P-0250900165
2019-03-09	11045096	2019-04-07	5	5	70	true	P-0250900172
2019-03-09	11711636	2019-03-22	8	8	94	true	P-0250900165
2019-03-09	11800905	2019-04-07	8	8	68	true	P-0250900174
2019-03-09	12572098	2019-03-29	5	5	75	true	P-0250900172
2019-03-09	12768029	2019-04-08	5	5	35	true	P-0250900177
2019-03-09	13594853	2019-03-14	5	5	47	true	P-0250900169
2019-03-09	13944445	2019-04-07	5	5	83	true	P-0250900136
2019-03-09	14411646	2019-04-23	5	5	36	true	P-0250900169
2019-03-09	14895172	2019-04-03	5	5	56	true	P-0250900172
2019-03-09	15416092	2019-04-01	5	5	42	true	P-0250900165
2019-03-09	13856231	2019-04-26	4	4	63	true	P-0250900160
2019-03-09	13934616	2019-03-30	4	4	14	true	P-0250900169
2019-03-09	13985896	2019-03-13	4	4	65	true	P-0250900169
2019-03-09	14289423	2019-05-06	4	4	83	true	P-0250900169
2019-03-09	14802650	2019-04-16	4	4	62	true	P-0250900136
2019-03-09	15034737	2019-03-26	4	4	71	true	P-0250900172
2019-03-09	15092233	2019-05-08	4	4	8	true	P-0250900169
2019-03-09	10678449	2019-04-09	3	3	32	true	P-0250900160
2019-03-09	11045096	2019-04-08	3	3	35	true	P-0250900172
2019-03-09	11711636	2019-04-24	4	4	47	true	P-0250900165
2019-03-09	12768029	2019-04-07	3	3	18	true	P-0250900177
2019-03-09	14339722	2019-04-16	3	3	42	true	P-0250900169
2019-03-09	14993287	2019-04-27	3	3	105	true	P-0250900136
2019-03-09	15034737	2019-04-06	3	3	48	true	P-0250900172
2019-03-09	15431986	2019-04-06	3	3	12	true	P-0250900172
2019-03-09	16412231	2019-04-09	4	4	44	true	P-0250900174
2019-03-09	10132892	2019-04-10	2	2	23	true	P-0250900169
2019-03-09	11711150	2019-04-17	2	2	71	true	P-0250900136
2019-03-09	11788268	2019-04-14	2	2	60	true	P-0250900160
2019-03-09	12451991	2019-05-02	2	2	22	true	P-0250900165
2019-03-09	13498766	2019-03-31	2	2	18	true	P-0250900172
2019-03-09	13856231	2019-04-08	2	2	21	true	P-0250900160
2019-03-09	14404386	2019-04-15	2	2	31	true	P-0250900169
2019-03-09	15092233	2019-05-04	2	2	3	true	P-0250900169
2019-03-09	15808622	2019-04-30	2	2	21	true	P-0250900169
2019-03-09	16187687	2019-03-31	2	2	7	true	P-0250900172
2019-03-16	16188573	2019-04-25	97	97	1347	true	P-0251600090
2019-03-16	16363786	2019-04-17	170	170	3010	true	P-0251600085
2019-03-16	15880950	2019-04-26	75	75	1524	true	P-0251600083
2019-03-16	16595101	2019-04-09	148	148	2184	true	P-0251600090
2019-03-16	12561507	2019-04-08	73	73	1601	true	P-0251600090
2019-03-16	12561507	2019-04-25	73	73	1601	true	P-0251600090
2019-03-16	12401265	2019-04-20	140	140	513	true	P-0251600085
2019-03-16	12572752	2019-04-12	65	65	2566	true	P-0251600090
2019-03-16	11635178	2019-04-27	64	64	451	true	P-0251600085
2019-03-16	11635178	2019-03-19	62	62	436	true	P-0251600085
2019-03-16	11635178	2019-04-10	56	56	393	true	P-0251600085
2019-03-16	16239251	2019-04-05	49	49	841	true	P-0251600085
2019-03-16	15880950	2019-04-05	47	47	947	true	P-0251600083
2019-03-16	15963625	2019-04-10	47	47	1035	true	P-0251600083
2019-03-16	12564089	2019-04-14	42	42	956	true	P-0251600090
2019-03-16	12918171	2019-04-02	41	41	148	true	P-0251600085
